model,family,k,pass_at_k
0.5B,arc,1,0.43333333333333335
0.5B,arc,2,0.5785714285714286
0.5B,arc,3,0.6573412698412698
0.5B,arc,4,0.7088888888888889
0.5B,arc,5,0.7454365079365078
0.5B,arc,6,0.773015873015873
0.5B,arc,7,0.7944444444444444
0.5B,arc,8,0.8111111111111111
0.5B,csp,1,0.05416666666666667
0.5B,csp,2,0.09365079365079365
0.5B,csp,3,0.12361111111111112
0.5B,csp,4,0.14746031746031746
0.5B,csp,5,0.16726190476190478
0.5B,csp,6,0.18412698412698414
0.5B,csp,7,0.1986111111111111
0.5B,csp,8,0.2111111111111111
0.5B,gsm8k,1,0.29583333333333334
0.5B,gsm8k,2,0.4115079365079366
0.5B,gsm8k,3,0.4825396825396825
0.5B,gsm8k,4,0.532063492063492
0.5B,gsm8k,5,0.5706349206349207
0.5B,gsm8k,6,0.6027777777777777
0.5B,gsm8k,7,0.6305555555555555
0.5B,gsm8k,8,0.6555555555555556
0.5B,logic,1,0.23194444444444445
0.5B,logic,2,0.3174603174603175
0.5B,logic,3,0.3684523809523809
0.5B,logic,4,0.4068253968253968
0.5B,logic,5,0.43869047619047624
0.5B,logic,6,0.4662698412698413
0.5B,logic,7,0.49027777777777776
0.5B,logic,8,0.5111111111111111
0.5B,mbpp,1,0.2763888888888889
0.5B,mbpp,2,0.3591269841269842
0.5B,mbpp,3,0.4055555555555555
0.5B,mbpp,4,0.4363492063492064
0.5B,mbpp,5,0.45853174603174607
0.5B,mbpp,6,0.4753968253968255
0.5B,mbpp,7,0.4888888888888889
0.5B,mbpp,8,0.5
0.5B,wordcon,1,0.09305555555555556
0.5B,wordcon,2,0.1714285714285714
0.5B,wordcon,3,0.23749999999999996
0.5B,wordcon,4,0.2928571428571428
0.5B,wordcon,5,0.3384920634920635
0.5B,wordcon,6,0.375
0.5B,wordcon,7,0.4027777777777778
0.5B,wordcon,8,0.4222222222222222
1.5B,arc,1,0.725
1.5B,arc,2,0.7591269841269841
1.5B,arc,3,0.7726190476190476
1.5B,arc,4,0.7795238095238095
1.5B,arc,5,0.7833333333333333
1.5B,arc,6,0.7857142857142858
1.5B,arc,7,0.7875
1.5B,arc,8,0.7888888888888889
1.5B,csp,1,0.1625
1.5B,csp,2,0.2503968253968254
1.5B,csp,3,0.31150793650793646
1.5B,csp,4,0.35888888888888887
1.5B,csp,5,0.3972222222222222
1.5B,csp,6,0.428968253968254
1.5B,csp,7,0.45555555555555555
1.5B,csp,8,0.4777777777777778
1.5B,gsm8k,1,0.6611111111111111
1.5B,gsm8k,2,0.798015873015873
1.5B,gsm8k,3,0.8563492063492065
1.5B,gsm8k,4,0.8895238095238096
1.5B,gsm8k,5,0.9107142857142858
1.5B,gsm8k,6,0.9253968253968254
1.5B,gsm8k,7,0.9361111111111111
1.5B,gsm8k,8,0.9444444444444444
1.5B,logic,1,0.46944444444444444
1.5B,logic,2,0.6103174603174604
1.5B,logic,3,0.6819444444444445
1.5B,logic,4,0.7255555555555555
1.5B,logic,5,0.7541666666666667
1.5B,logic,6,0.7742063492063492
1.5B,logic,7,0.7888888888888889
1.5B,logic,8,0.8
1.5B,mbpp,1,0.3611111111111111
1.5B,mbpp,2,0.446031746031746
1.5B,mbpp,3,0.4833333333333334
1.5B,mbpp,4,0.505079365079365
1.5B,mbpp,5,0.5212301587301588
1.5B,mbpp,6,0.5345238095238096
1.5B,mbpp,7,0.5458333333333333
1.5B,mbpp,8,0.5555555555555556
1.5B,wordcon,1,0.07222222222222222
1.5B,wordcon,2,0.1388888888888889
1.5B,wordcon,3,0.20039682539682538
1.5B,wordcon,4,0.2571428571428571
1.5B,wordcon,5,0.3095238095238095
1.5B,wordcon,6,0.3579365079365079
1.5B,wordcon,7,0.4027777777777778
1.5B,wordcon,8,0.4444444444444444
