model,family,split,G,gap_acc,n_pairs,abstain,pick_a,order_consistency,n_presentations,modal_share,plurality_alignment,mode_accuracy
0.5B,arc,calib,0.0,0.5,20,0.0,1.0,0.0,40,0.7375,0.033333333333333326,0.5
0.5B,arc,test,0.0,0.5,44,0.0,0.9772727272727273,0.045454545454545456,88,0.68125,0.06666666666666665,0.4666666666666667
0.5B,csp,calib,0.0,0.5,5,0.0,1.0,0.0,10,0.3958333333333333,0.03333333333333333,0.06666666666666667
0.5B,csp,test,0.0,0.5,14,0.0,1.0,0.0,28,0.36875,0.016666666666666663,0.08333333333333333
0.5B,gsm8k,calib,0.0,0.5,18,0.0,1.0,0.0,36,0.37083333333333335,0.13333333333333336,0.4
0.5B,gsm8k,test,0.0,0.5,33,0.0,1.0,0.0,66,0.45,0.15000000000000002,0.4166666666666667
0.5B,logic,calib,0.0,0.5,10,0.0,1.0,0.0,20,0.7541666666666667,-0.06666666666666665,0.2
0.5B,logic,test,0.0,0.5,32,0.0,1.0,0.0,64,0.7166666666666667,0.04999999999999999,0.25
0.5B,mbpp,calib,0.0,0.5,10,0.0,0.2,0.2,20,,,
0.5B,mbpp,test,0.03846153846153855,0.5192307692307693,26,0.0,0.09615384615384616,0.038461538461538464,52,,,
0.5B,wordcon,calib,0.0,0.5,10,0.0,0.0,0.0,20,,,
0.5B,wordcon,test,0.03571428571428581,0.5178571428571429,28,0.0,0.017857142857142856,0.03571428571428571,56,,,
1.5B,arc,calib,0.09090909090909083,0.5454545454545454,7,0.21428571428571427,0.36363636363636365,0.0,14,0.925,0.0,0.7
1.5B,arc,test,0.07692307692307687,0.5384615384615384,8,0.1875,0.0,0.0,16,0.9458333333333333,0.01666666666666672,0.7166666666666667
1.5B,csp,calib,0.41666666666666674,0.7083333333333334,12,0.0,0.2916666666666667,0.5833333333333334,24,0.35833333333333334,0.06666666666666668,0.2
1.5B,csp,test,0.2333333333333334,0.6166666666666667,30,0.0,0.21666666666666667,0.3,60,0.35625,0.0,0.25
1.5B,gsm8k,calib,0.050000000000000044,0.525,20,0.0,0.425,0.65,40,0.7,0.30000000000000004,0.8666666666666667
1.5B,gsm8k,test,0.07317073170731714,0.5365853658536586,41,0.0,0.4024390243902439,0.5609756097560976,82,0.7041666666666667,0.18333333333333335,0.8666666666666667
1.5B,logic,calib,0.05263157894736836,0.5263157894736842,19,0.0,0.18421052631578946,0.15789473684210525,38,0.7291666666666666,0.0,0.4
1.5B,logic,test,-0.04878048780487809,0.47560975609756095,41,0.0,0.1951219512195122,0.24390243902439024,82,0.6833333333333333,0.09999999999999998,0.6166666666666667
1.5B,mbpp,calib,0.41666666666666674,0.7083333333333334,12,0.0,0.5416666666666666,0.5833333333333334,24,,,
1.5B,mbpp,test,0.3999999999999999,0.7,25,0.0,0.52,0.64,50,,,
1.5B,wordcon,calib,-0.2727272727272727,0.36363636363636365,11,0.0,0.5909090909090909,0.45454545454545453,22,,,
1.5B,wordcon,test,-0.31034482758620685,0.3448275862068966,29,0.0,0.603448275862069,0.6551724137931034,58,,,
