model,family,arch,k,p1,coverage,headroom,acc,lift_vs_single,eta,tokens
0.5B,arc,judge,4,0.43333333333333335,0.7088888888888889,0.27555555555555555,0.4444444444444444,0.011111111111111072,0.04032258064516115,830.8888888888889
0.5B,arc,judge,8,0.43333333333333335,0.8111111111111111,0.37777777777777777,0.4111111111111111,-0.022222222222222254,-0.058823529411764795,1541.6
0.5B,arc,oracle,4,0.43333333333333335,0.7088888888888889,0.27555555555555555,0.7222222222222222,0.28888888888888886,1.0483870967741935,529.9777777777778
0.5B,arc,oracle,8,0.43333333333333335,0.8111111111111111,0.37777777777777777,0.8111111111111111,0.37777777777777777,1.0,1062.6777777777777
0.5B,arc,vote,4,0.43333333333333335,0.7088888888888889,0.27555555555555555,0.4722222222222222,0.03888888888888886,0.14112903225806442,529.9777777777778
0.5B,arc,vote,8,0.43333333333333335,0.8111111111111111,0.37777777777777777,0.4777777777777778,0.04444444444444445,0.11764705882352944,1062.6777777777777
0.5B,csp,judge,4,0.05416666666666667,0.14746031746031746,0.09329365079365079,0.06666666666666667,0.012499999999999997,0.1339855380689068,2600.733333333333
0.5B,csp,judge,8,0.05416666666666667,0.2111111111111111,0.15694444444444444,0.05555555555555555,0.001388888888888884,0.008849557522123862,5105.655555555555
0.5B,csp,oracle,4,0.05416666666666667,0.14746031746031746,0.09329365079365079,0.13333333333333333,0.07916666666666666,0.84857507443641,1514.9055555555556
0.5B,csp,oracle,8,0.05416666666666667,0.2111111111111111,0.15694444444444444,0.2111111111111111,0.15694444444444444,1.0,3027.6
0.5B,csp,prog,4,0.05416666666666667,0.14746031746031746,0.09329365079365079,0.13333333333333333,0.07916666666666666,0.84857507443641,1514.9055555555556
0.5B,csp,prog,8,0.05416666666666667,0.2111111111111111,0.15694444444444444,0.2111111111111111,0.15694444444444444,1.0,3027.6
0.5B,csp,vote,4,0.05416666666666667,0.14746031746031746,0.09329365079365079,0.07777777777777778,0.02361111111111111,0.25308379413015736,1514.9055555555556
0.5B,csp,vote,8,0.05416666666666667,0.2111111111111111,0.15694444444444444,0.07777777777777778,0.02361111111111111,0.1504424778761062,3027.6
0.5B,gsm8k,judge,4,0.29583333333333334,0.532063492063492,0.23623015873015868,0.3,0.004166666666666652,0.01763816563077434,2291.538888888889
0.5B,gsm8k,judge,8,0.29583333333333334,0.6555555555555556,0.3597222222222222,0.3,0.004166666666666652,0.011583011583011543,4474.1
0.5B,gsm8k,oracle,4,0.29583333333333334,0.532063492063492,0.23623015873015868,0.5388888888888889,0.24305555555555552,1.0288929951285066,1380.638888888889
0.5B,gsm8k,oracle,8,0.29583333333333334,0.6555555555555556,0.3597222222222222,0.6555555555555556,0.3597222222222222,1.0,2776.5222222222224
0.5B,gsm8k,vote,4,0.29583333333333334,0.532063492063492,0.23623015873015868,0.3888888888888889,0.09305555555555556,0.39391903242062837,1380.638888888889
0.5B,gsm8k,vote,8,0.29583333333333334,0.6555555555555556,0.3597222222222222,0.4111111111111111,0.11527777777777776,0.32046332046332043,2776.5222222222224
