model,family,arch,k,acc,tokens,naive_lift,matched_baseline,matched_lift
0.5B,arc,debate,6,0.4222222222222222,994.7666666666667,0.0,0.5,-0.07777777777777778
0.5B,arc,judge,4,0.4444444444444444,830.8888888888889,0.0222222222222222,0.5,-0.05555555555555558
0.5B,arc,judge,8,0.4111111111111111,1541.6,-0.011111111111111127,0.5,-0.0888888888888889
0.5B,arc,vote,4,0.4722222222222222,529.9777777777778,0.04999999999999999,0.5,-0.02777777777777779
0.5B,arc,vote,8,0.4777777777777778,1062.6777777777777,0.05555555555555558,0.5,-0.0222222222222222
0.5B,csp,debate,6,0.07777777777777778,2605.366666666667,0.022222222222222227,0.4111111111111111,-0.3333333333333333
0.5B,csp,judge,4,0.06666666666666667,2600.733333333333,0.011111111111111113,0.4111111111111111,-0.34444444444444444
0.5B,csp,judge,8,0.05555555555555555,5105.655555555555,0.0,0.4111111111111111,-0.3555555555555555
0.5B,csp,prog,4,0.13333333333333333,1514.9055555555556,0.07777777777777778,0.4111111111111111,-0.2777777777777778
0.5B,csp,prog,8,0.2111111111111111,3027.6,0.15555555555555556,0.4111111111111111,-0.19999999999999998
0.5B,csp,vote,4,0.07777777777777778,1514.9055555555556,0.022222222222222227,0.4111111111111111,-0.3333333333333333
0.5B,csp,vote,8,0.07777777777777778,3027.6,0.022222222222222227,0.4111111111111111,-0.3333333333333333
0.5B,gsm8k,debate,6,0.25555555555555554,2552.5333333333333,-0.011111111111111127,0.35555555555555557,-0.10000000000000003
0.5B,gsm8k,judge,4,0.3,2291.538888888889,0.033333333333333326,0.35555555555555557,-0.05555555555555558
0.5B,gsm8k,judge,8,0.3,4474.1,0.033333333333333326,0.35555555555555557,-0.05555555555555558
0.5B,gsm8k,vote,4,0.3888888888888889,1380.638888888889,0.12222222222222223,0.35555555555555557,0.033333333333333326
0.5B,gsm8k,vote,8,0.4111111111111111,2776.5222222222224,0.14444444444444443,0.35555555555555557,0.055555555555555525
0.5B,logic,debate,6,0.24444444444444444,518.1555555555556,0.022222222222222227,0.2222222222222222,0.022222222222222227
0.5B,logic,judge,4,0.22777777777777777,389.6388888888889,0.005555555555555564,0.2222222222222222,0.005555555555555564
0.5B,logic,judge,8,0.23333333333333334,690.4888888888889,0.011111111111111127,0.2222222222222222,0.011111111111111127
0.5B,logic,vote,4,0.22777777777777777,265.9611111111111,0.005555555555555564,0.2222222222222222,0.005555555555555564
0.5B,logic,vote,8,0.23333333333333334,532.2666666666667,0.011111111111111127,0.2222222222222222,0.011111111111111127
0.5B,mbpp,debate,6,0.3,1793.6777777777777,0.06666666666666665,0.24444444444444444,0.05555555555555555
0.5B,mbpp,judge,4,0.28888888888888886,1334.9388888888889,0.055555555555555525,0.24444444444444444,0.044444444444444425
0.5B,mbpp,judge,8,0.3,2547.8555555555554,0.06666666666666665,0.24444444444444444,0.05555555555555555
0.5B,mbpp,prog,4,0.42777777777777776,789.0277777777778,0.19444444444444442,0.24444444444444444,0.18333333333333332
0.5B,mbpp,prog,8,0.45555555555555555,1572.7777777777778,0.2222222222222222,0.24444444444444444,0.2111111111111111
0.5B,wordcon,debate,6,0.17777777777777778,645.3222222222222,0.15555555555555556,0.03333333333333333,0.14444444444444446
0.5B,wordcon,judge,4,0.08333333333333333,484.02222222222224,0.0611111111111111,0.03333333333333333,0.049999999999999996
0.5B,wordcon,judge,8,0.022222222222222223,868.7111111111111,0.0,0.03333333333333333,-0.01111111111111111
0.5B,wordcon,prog,4,0.2722222222222222,314.00555555555553,0.24999999999999997,0.03333333333333333,0.23888888888888887
0.5B,wordcon,prog,8,0.4222222222222222,628.8555555555556,0.4,0.03333333333333333,0.3888888888888889
1.5B,arc,debate,6,0.7222222222222222,736.4222222222222,0.022222222222222254,0.7,0.022222222222222254
1.5B,arc,judge,4,0.7222222222222222,578.5,0.022222222222222254,0.7,0.022222222222222254
