model,family,config,arch,matched_lift,lo,hi,p,p_holm
0.5B,arc,debate_a3r2,debate,-0.07777777777777778,-0.18888888888888894,-0.011111111111111183,0.08,1.0
0.5B,arc,judge_k4,judge,-0.05555555555555558,-0.16666666666666669,0.0,0.193,1.0
0.5B,arc,judge_k8,judge,-0.0888888888888889,-0.22222222222222227,-0.0222222222222222,0.0755,1.0
0.5B,arc,vote_k4,vote,-0.02777777777777779,-0.1388888888888889,0.03478489185229906,0.522,1.0
0.5B,arc,vote_k8,vote,-0.0222222222222222,-0.14444444444444443,0.04444444444444451,0.611,1.0
0.5B,csp,debate_a3r2,debate,-0.3333333333333333,-0.4444444444444444,-0.2222222222222222,0.0,0.0
0.5B,csp,judge_k4,judge,-0.34444444444444444,-0.44999999999999996,-0.2388888888888889,0.0,0.0
0.5B,csp,judge_k8,judge,-0.3555555555555555,-0.4666666666666667,-0.23333333333333334,0.0,0.0
0.5B,csp,prog_k4,prog,-0.2777777777777778,-0.3944444444444445,-0.15555555555555556,0.0,0.0
0.5B,csp,prog_k8,prog,-0.19999999999999998,-0.3333333333333333,-0.06666666666666665,0.0055,0.23099999999999998
0.5B,csp,vote_k4,vote,-0.3333333333333333,-0.4388888888888889,-0.22222222222222224,0.0,0.0
0.5B,csp,vote_k8,vote,-0.3333333333333333,-0.4444444444444444,-0.21111111111111114,0.0,0.0
0.5B,gsm8k,debate_a3r2,debate,-0.10000000000000003,-0.21111111111111114,-0.011111111111111127,0.0345,1.0
0.5B,gsm8k,judge_k4,judge,-0.05555555555555558,-0.1444444444444445,0.011111111111111127,0.163,1.0
0.5B,gsm8k,judge_k8,judge,-0.05555555555555558,-0.16666666666666669,0.022222222222222254,0.224,1.0
0.5B,gsm8k,vote_k4,vote,0.033333333333333326,-0.05555555555555558,0.10555555555555557,0.415,1.0
0.5B,gsm8k,vote_k8,vote,0.055555555555555525,-0.033333333333333326,0.1333333333333333,0.1675,1.0
0.5B,logic,debate_a3r2,debate,0.022222222222222227,-0.055555555555555525,0.07795768890100226,0.499,1.0
0.5B,logic,judge_k4,judge,0.005555555555555564,-0.061111111111111116,0.061111111111111116,0.808,1.0
0.5B,logic,judge_k8,judge,0.011111111111111127,-0.04444444444444444,0.033333333333333326,0.3125,1.0
0.5B,logic,vote_k4,vote,0.005555555555555564,-0.061111111111111116,0.061111111111111116,0.7915,1.0
0.5B,logic,vote_k8,vote,0.011111111111111127,-0.05555555555555558,0.06666666666666671,0.7255,1.0
