model,family,arch,k,acc,lo,hi,tokens,n
0.5B,arc,debate,6,0.4222222222222222,0.32222222222222224,0.5222222222222223,994.7666666666667,90
0.5B,arc,judge,4,0.4444444444444444,0.3611111111111111,0.5277777777777778,830.8888888888889,90
0.5B,arc,judge,8,0.4111111111111111,0.3111111111111111,0.5111111111111111,1541.6,90
0.5B,arc,long,2,0.5,0.4,0.6,298.2111111111111,90
0.5B,arc,long,4,0.5,0.4,0.6,298.2111111111111,90
0.5B,arc,oracle,4,0.7222222222222222,0.6388888888888888,0.8,529.9777777777778,90
0.5B,arc,oracle,8,0.8111111111111111,0.7333333333333333,0.8888888888888888,1062.6777777777777,90
0.5B,arc,seq,1,0.4222222222222222,0.32222222222222224,0.5222222222222223,136.74444444444444,90
0.5B,arc,seq,2,0.4666666666666667,0.36666666666666664,0.5666666666666667,326.1222222222222,90
0.5B,arc,seq,3,0.4777777777777778,0.37777777777777777,0.5777777777777777,495.1777777777778,90
0.5B,arc,seq,4,0.4777777777777778,0.37777777777777777,0.5888888888888889,676.4666666666667,90
0.5B,arc,single,1,0.4222222222222222,0.32222222222222224,0.5222222222222223,136.74444444444444,90
0.5B,arc,vote,4,0.4722222222222222,0.37777777777777777,0.5666666666666667,529.9777777777778,90
0.5B,arc,vote,8,0.4777777777777778,0.37777777777777777,0.5777777777777777,1062.6777777777777,90
0.5B,csp,debate,6,0.07777777777777778,0.022222222222222223,0.13333333333333333,2605.366666666667,90
0.5B,csp,judge,4,0.06666666666666667,0.027777777777777776,0.1111111111111111,2600.733333333333,90
0.5B,csp,judge,8,0.05555555555555555,0.011111111111111112,0.1111111111111111,5105.655555555555,90
0.5B,csp,long,2,0.26666666666666666,0.17777777777777778,0.36666666666666664,662.5,90
0.5B,csp,long,4,0.4111111111111111,0.3111111111111111,0.5111111111111111,715.9222222222222,90
0.5B,csp,oracle,4,0.13333333333333333,0.07222222222222222,0.20555555555555555,1514.9055555555556,90
0.5B,csp,oracle,8,0.2111111111111111,0.13333333333333333,0.3,3027.6,90
0.5B,csp,prog,4,0.13333333333333333,0.07222222222222222,0.2,1514.9055555555556,90
0.5B,csp,prog,8,0.2111111111111111,0.13333333333333333,0.3,3027.6,90
0.5B,csp,seq,1,0.05555555555555555,0.011111111111111112,0.1111111111111111,381.2111111111111,90
0.5B,csp,seq,2,0.022222222222222223,0.0,0.05555555555555555,1046.1666666666667,90
0.5B,csp,seq,3,0.05555555555555555,0.011111111111111112,0.1111111111111111,1642.7444444444445,90
0.5B,csp,seq,4,0.07777777777777778,0.022222222222222223,0.13333333333333333,2253.911111111111,90
0.5B,csp,single,1,0.05555555555555555,0.011111111111111112,0.1111111111111111,381.2111111111111,90
0.5B,csp,vote,4,0.07777777777777778,0.03333333333333333,0.12777777777777777,1514.9055555555556,90
0.5B,csp,vote,8,0.07777777777777778,0.03333333333333333,0.13333333333333333,3027.6,90
0.5B,gsm8k,debate,6,0.25555555555555554,0.16666666666666666,0.34444444444444444,2552.5333333333333,90
0.5B,gsm8k,judge,4,0.3,0.21666666666666667,0.38333333333333336,2291.538888888889,90
0.5B,gsm8k,judge,8,0.3,0.2111111111111111,0.4,4474.1,90
0.5B,gsm8k,long,2,0.35555555555555557,0.25555555555555554,0.45555555555555555,467.3666666666667,90
0.5B,gsm8k,long,4,0.35555555555555557,0.25555555555555554,0.45555555555555555,475.1,90
0.5B,gsm8k,oracle,4,0.5388888888888889,0.4444444444444444,0.6388888888888888,1380.638888888889,90
0.5B,gsm8k,oracle,8,0.6555555555555556,0.5555555555555556,0.7555555555555555,2776.5222222222224,90
0.5B,gsm8k,seq,1,0.26666666666666666,0.17777777777777778,0.35555555555555557,335.7111111111111,90
0.5B,gsm8k,seq,2,0.3111111111111111,0.2222222222222222,0.4111111111111111,926.8555555555556,90
0.5B,gsm8k,seq,3,0.28888888888888886,0.2,0.3888888888888889,1490.088888888889,90
0.5B,gsm8k,seq,4,0.28888888888888886,0.2,0.3888888888888889,2047.611111111111,90
0.5B,gsm8k,single,1,0.26666666666666666,0.17777777777777778,0.35555555555555557,335.7111111111111,90
0.5B,gsm8k,vote,4,0.3888888888888889,0.3,0.4777777777777778,1380.638888888889,90
0.5B,gsm8k,vote,8,0.4111111111111111,0.3111111111111111,0.5111111111111111,2776.5222222222224,90
0.5B,logic,debate,6,0.24444444444444444,0.15555555555555556,0.3333333333333333,518.1555555555556,90
0.5B,logic,judge,4,0.22777777777777777,0.15555555555555556,0.3055555555555556,389.6388888888889,90
0.5B,logic,judge,8,0.23333333333333334,0.14444444444444443,0.32222222222222224,690.4888888888889,90
0.5B,logic,long,2,0.18888888888888888,0.1111111111111111,0.2777777777777778,223.33333333333334,90
0.5B,logic,long,4,0.18888888888888888,0.1111111111111111,0.2777777777777778,223.33333333333334,90
0.5B,logic,oracle,4,0.39444444444444443,0.3,0.4888888888888889,265.9611111111111,90
0.5B,logic,oracle,8,0.5111111111111111,0.4111111111111111,0.6222222222222222,532.2666666666667,90
0.5B,logic,seq,1,0.2222222222222222,0.14444444444444443,0.3111111111111111,66.37777777777778,90
0.5B,logic,seq,2,0.17777777777777778,0.1,0.26666666666666666,217.42222222222222,90
0.5B,logic,seq,3,0.14444444444444443,0.07777777777777778,0.2222222222222222,391.85555555555555,90
0.5B,logic,seq,4,0.15555555555555556,0.08888888888888889,0.23333333333333334,550.1,90
0.5B,logic,single,1,0.2222222222222222,0.14444444444444443,0.3111111111111111,66.37777777777778,90
0.5B,logic,vote,4,0.22777777777777777,0.15,0.3111111111111111,265.9611111111111,90
0.5B,logic,vote,8,0.23333333333333334,0.14444444444444443,0.32222222222222224,532.2666666666667,90
0.5B,mbpp,debate,6,0.3,0.2111111111111111,0.4,1793.6777777777777,90
0.5B,mbpp,judge,4,0.28888888888888886,0.20555555555555555,0.37777777777777777,1334.9388888888889,90
0.5B,mbpp,judge,8,0.3,0.2111111111111111,0.3888888888888889,2547.8555555555554,90
0.5B,mbpp,long,2,0.24444444444444444,0.15555555555555556,0.3333333333333333,271.24444444444447,90
0.5B,mbpp,long,4,0.24444444444444444,0.15555555555555556,0.3333333333333333,271.24444444444447,90
0.5B,mbpp,oracle,4,0.4444444444444444,0.35,0.5444444444444444,789.0277777777778,90
0.5B,mbpp,oracle,8,0.5,0.4,0.6,1572.7777777777778,90
0.5B,mbpp,prog,4,0.42777777777777776,0.3333333333333333,0.5277777777777778,789.0277777777778,90
0.5B,mbpp,prog,8,0.45555555555555555,0.35555555555555557,0.5555555555555556,1572.7777777777778,90
0.5B,mbpp,seq,1,0.23333333333333334,0.15555555555555556,0.32222222222222224,200.16666666666666,90
0.5B,mbpp,seq,2,0.23333333333333334,0.14444444444444443,0.32222222222222224,542.9888888888889,90
0.5B,mbpp,seq,3,0.23333333333333334,0.14444444444444443,0.32222222222222224,886.8333333333334,90
0.5B,mbpp,seq,4,0.2222222222222222,0.13333333333333333,0.3111111111111111,1236.2888888888888,90
0.5B,mbpp,single,1,0.23333333333333334,0.14444444444444443,0.32222222222222224,200.16666666666666,90
0.5B,wordcon,debate,6,0.17777777777777778,0.1,0.25555555555555554,645.3222222222222,90
0.5B,wordcon,judge,4,0.08333333333333333,0.03888888888888889,0.13333333333333333,484.02222222222224,90
0.5B,wordcon,judge,8,0.022222222222222223,0.0,0.05555555555555555,868.7111111111111,90
0.5B,wordcon,long,2,0.03333333333333333,0.0,0.07777777777777778,115.08888888888889,90
0.5B,wordcon,long,4,0.03333333333333333,0.0,0.07777777777777778,115.08888888888889,90
0.5B,wordcon,oracle,4,0.2722222222222222,0.18888888888888888,0.3611111111111111,314.00555555555553,90
0.5B,wordcon,oracle,8,0.4222222222222222,0.32222222222222224,0.5222222222222223,628.8555555555556,90
0.5B,wordcon,prog,4,0.2722222222222222,0.18888888888888888,0.35555555555555557,314.00555555555553,90
0.5B,wordcon,prog,8,0.4222222222222222,0.32222222222222224,0.5222222222222223,628.8555555555556,90
0.5B,wordcon,seq,1,0.022222222222222223,0.0,0.05555555555555555,78.27777777777777,90
0.5B,wordcon,seq,2,0.03333333333333333,0.0,0.07777777777777778,199.75555555555556,90
0.5B,wordcon,seq,3,0.03333333333333333,0.0,0.07777777777777778,321.8,90
0.5B,wordcon,seq,4,0.03333333333333333,0.0,0.07777777777777778,443.73333333333335,90
0.5B,wordcon,single,1,0.022222222222222223,0.0,0.05555555555555555,78.27777777777777,90
1.5B,arc,debate,6,0.7222222222222222,0.6333333333333333,0.8111111111111111,736.4222222222222,90
1.5B,arc,judge,4,0.7222222222222222,0.6277777777777778,0.8111111111111111,578.5,90
1.5B,arc,judge,8,0.7,0.6,0.7888888888888889,1027.6333333333334,90
1.5B,arc,long,2,0.6777777777777778,0.5777777777777777,0.7666666666666667,304.81111111111113,90
1.5B,arc,long,4,0.6777777777777778,0.5777777777777777,0.7777777777777778,309.2,90
1.5B,arc,oracle,4,0.7833333333333333,0.6944444444444444,0.8666666666666667,396.0,90
1.5B,arc,oracle,8,0.7888888888888889,0.7,0.8666666666666667,786.2,90
1.5B,arc,seq,1,0.7,0.6,0.7888888888888889,101.31111111111112,90
1.5B,arc,seq,2,0.6666666666666666,0.5666666666666667,0.7666666666666667,291.84444444444443,90
1.5B,arc,seq,3,0.6,0.5,0.7,523.9,90
1.5B,arc,seq,4,0.6444444444444445,0.5444444444444444,0.7444444444444445,761.9555555555555,90
1.5B,arc,single,1,0.7,0.6,0.7888888888888889,101.31111111111112,90
1.5B,arc,vote,4,0.7388888888888889,0.6444444444444445,0.8222222222222222,396.0,90
1.5B,arc,vote,8,0.7111111111111111,0.6111111111111112,0.8,786.2,90
1.5B,csp,debate,6,0.18888888888888888,0.1111111111111111,0.26666666666666666,2532.0777777777776,90
1.5B,csp,judge,4,0.17777777777777778,0.10555555555555556,0.25555555555555554,2558.4,90
1.5B,csp,judge,8,0.2,0.12222222222222222,0.28888888888888886,5011.533333333334,90
1.5B,csp,long,2,0.5333333333333333,0.4222222222222222,0.6333333333333333,618.0222222222222,90
1.5B,csp,long,4,0.6444444444444445,0.5444444444444444,0.7444444444444445,701.1333333333333,90
1.5B,csp,oracle,4,0.3388888888888889,0.25,0.43333333333333335,1474.2944444444445,90
1.5B,csp,oracle,8,0.4777777777777778,0.37777777777777777,0.5777777777777777,2947.266666666667,90
1.5B,csp,prog,4,0.3388888888888889,0.25,0.42777777777777776,1474.2944444444445,90
1.5B,csp,prog,8,0.4777777777777778,0.37777777777777777,0.5777777777777777,2947.266666666667,90
1.5B,csp,seq,1,0.2111111111111111,0.13333333333333333,0.3,365.7,90
1.5B,csp,seq,2,0.25555555555555554,0.16666666666666666,0.34444444444444444,1033.5555555555557,90
1.5B,csp,seq,3,0.2777777777777778,0.18888888888888888,0.37777777777777777,1668.4666666666667,90
1.5B,csp,seq,4,0.34444444444444444,0.24444444444444444,0.4444444444444444,2274.366666666667,90
1.5B,csp,single,1,0.2111111111111111,0.13333333333333333,0.3,365.7,90
1.5B,csp,vote,4,0.2,0.12777777777777777,0.2777777777777778,1474.2944444444445,90
1.5B,csp,vote,8,0.23333333333333334,0.14444444444444443,0.32222222222222224,2947.266666666667,90
1.5B,gsm8k,debate,6,0.5333333333333333,0.43333333333333335,0.6333333333333333,2194.3,90
1.5B,gsm8k,judge,4,0.6944444444444444,0.6111111111111112,0.7777777777777778,2083.0666666666666,90
1.5B,gsm8k,judge,8,0.6888888888888889,0.5888888888888889,0.7777777777777778,4052.1444444444446,90
1.5B,gsm8k,long,2,0.7222222222222222,0.6222222222222222,0.8111111111111111,416.72222222222223,90
1.5B,gsm8k,long,4,0.7222222222222222,0.6333333333333333,0.8111111111111111,416.72222222222223,90
1.5B,gsm8k,oracle,4,0.8888888888888888,0.8277777777777777,0.9444444444444444,1218.65,90
1.5B,gsm8k,oracle,8,0.9444444444444444,0.8888888888888888,0.9888888888888889,2437.9666666666667,90
1.5B,gsm8k,seq,1,0.6444444444444445,0.5444444444444444,0.7444444444444445,309.1333333333333,90
